model,epoch,vs_baseline_wins,vs_baseline_total,vs_baseline_winrate,vs_random_wins,vs_random_total,vs_random_winrate,vs_prev_wins,vs_prev_total,vs_prev_winrate,elo_rating,elo_smooth,baseline_smooth,random_smooth,prev_smooth
20251007_0647-EXP_id03_epoch_0047,47,625,50,1250.0,575,50,1150.0,625,50,1250.0,413.57799884888004,403.1097834050626,416.6666666666667,1050.0,2083.3333333333335
20251007_0647-EXP_id03_epoch_0048,48,0,50,0.0,700,50,1400.0,1250,50,2500.0,398.04073777178365,403.1912173925328,416.6666666666667,1266.6666666666667,2083.3333333333335
20251007_0648-EXP_id03_epoch_0049,49,625,50,1250.0,550,50,1100.0,1250,50,2500.0,413.67161378774887,408.43011680280415,833.3333333333334,1216.6666666666667,2083.3333333333335
20251007_0648-EXP_id03_epoch_0050,50,625,50,1250.0,475,50,950.0,625,50,1250.0,413.59175705739165,408.43470287230804,833.3333333333334,1150.0,2083.3333333333335
20251007_0648-EXP_id03_epoch_0051,51,1250,50,2500.0,700,50,1400.0,625,50,1250.0,413.5139062567112,413.59242570061724,1666.6666666666667,1150.0,1666.6666666666667
20251007_0649-EXP_id03_epoch_0052,52,625,50,1250.0,700,50,1400.0,625,50,1250.0,413.43799470643916,413.51455267351406,1666.6666666666667,1250.0,1250.0
20251007_0649-EXP_id03_epoch_0053,53,0,50,0.0,575,50,1150.0,1250,50,2500.0,397.89621332951555,408.28270476422193,1250.0,1316.6666666666667,1666.6666666666667
20251007_0649-EXP_id03_epoch_0054,54,625,50,1250.0,625,50,1250.0,1250,50,2500.0,413.53606159526555,408.2900898770734,833.3333333333334,1266.6666666666667,2083.3333333333335
20251007_0650-EXP_id03_epoch_0055,55,625,50,1250.0,850,50,1700.0,0,50,0.0,397.4590044253408,402.9637597833739,833.3333333333334,1366.6666666666667,1666.6666666666667
20251007_0650-EXP_id03_epoch_0056,56,0,50,0.0,700,50,1400.0,0,50,0.0,381.91182878218933,397.6356316009319,833.3333333333334,1450.0,833.3333333333334
20251007_0650-EXP_id03_epoch_0057,57,625,50,1250.0,650,50,1300.0,0,50,0.0,397.55913169820707,392.3099883019124,833.3333333333334,1466.6666666666667,0.0
20250930_0927-EXP_id03_epoch_0059,59,625,50,1250.0,675,50,1350.0,625,50,1250.0,413.4808817945884,397.65061409166157,833.3333333333334,1350.0,416.6666666666667
20251005_2125-EXP_id03_epoch_0060,60,625,50,1250.0,775,50,1550.0,0,50,0.0,397.4046101750098,402.8148745559351,1250.0,1400.0,416.6666666666667
20251006_2231-EXP_id03_epoch_0061,61,0,50,0.0,650,50,1300.0,625,50,1250.0,397.85286858320984,402.912786850936,833.3333333333334,1400.0,833.3333333333334
20251007_0652-EXP_id03_epoch_0062,62,625,50,1250.0,700,50,1400.0,0,50,0.0,397.5074906678651,397.5883231420283,833.3333333333334,1416.6666666666667,416.6666666666667
20250930_0927-EXP_id03_epoch_0064,64,0,50,0.0,475,50,950.0,625,50,1250.0,397.949862019406,397.770073756827,416.6666666666667,1216.6666666666667,833.3333333333334
20251005_2126-EXP_id03_epoch_0065,65,1250,50,2500.0,725,50,1450.0,1250,50,2500.0,413.61083799572435,403.02273022766514,1250.0,1266.6666666666667,1250.0
20251006_2233-EXP_id03_epoch_0066,66,0,50,0.0,500,50,1000.0,1250,50,2500.0,398.0473268766994,403.2026756306099,833.3333333333334,1133.3333333333333,2083.3333333333335
20251007_0654-EXP_id03_epoch_0067,67,0,50,0.0,450,50,900.0,0,50,0.0,382.23014294819023,397.962769273538,833.3333333333334,1116.6666666666667,1666.6666666666667
20250930_0928-EXP_id03_epoch_0069,69,1250,50,2500.0,575,50,1150.0,625,50,1250.0,413.90223494072643,398.05990158853865,833.3333333333334,1016.6666666666666,1250.0
20251005_2127-EXP_id03_epoch_0070,70,625,50,1250.0,600,50,1200.0,625,50,1250.0,413.81241062158205,403.31492950349957,1250.0,1083.3333333333333,833.3333333333334
20251006_2235-EXP_id03_epoch_0071,71,625,50,1250.0,650,50,1300.0,625,50,1250.0,413.72500515195566,413.8132169047547,1666.6666666666667,1216.6666666666667,1250.0
20251007_0656-EXP_id03_epoch_0072,72,0,50,0.0,775,50,1550.0,625,50,1250.0,398.15122776725036,408.56288118026265,833.3333333333334,1350.0,1250.0
20250930_0929-EXP_id03_epoch_0074,74,1250,50,2500.0,625,50,1250.0,1250,50,2500.0,413.8289557992475,408.56839623948446,1250.0,1366.6666666666667,1666.6666666666667
20251005_2128-EXP_id03_epoch_0075,75,625,50,1250.0,650,50,1300.0,625,50,1250.0,413.7404735459857,408.5735523708278,1250.0,1366.6666666666667,1666.6666666666667
